teamstatspk,WIN%,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
304,0.695,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44,22,13.1,7.3,5.1,4.5,19,20.7,6.1,2010-11
305,0.683,96.5,36.9,75.8,48.6,5,13.6,36.5,17.8,23.1,77,7.8,31,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2,5.4,2010-11
306,0.671,104.8,37.4,80.6,46.4,5.9,17.1,34.7,24.1,29.3,82.3,11,31.8,42.8,20.4,14.1,8,5.9,4.3,22.4,21.5,3.8,2010-11
307,0.634,99.2,36,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20,14.9,6.7,4.7,3.8,20,21.8,5.5,2010-11
308,0.61,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42,22.1,14.1,7.4,4.3,6,21,22.7,4.8,2010-11
309,0.585,96.3,36,80.5,44.7,6.3,18.3,34.5,18,22.4,80.4,12.1,27.2,39.3,21.2,13,8,4.4,4.1,19.3,21.3,1.5,2010-11
310,0.561,99.9,39,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75,11.8,29.2,41,20.6,14,9.4,5.4,6.2,20.8,21.4,2.3,2010-11
311,0.561,94.9,35.9,78.2,45.9,5.4,15,36,17.7,23.1,76.5,10,30.1,40.1,20.6,13,7.6,4.4,4.8,21,20.4,0.9,2010-11
312,0.537,95,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30,39.3,22,13.6,6.1,4.2,4.2,19,18.5,-0.8,2010-11
313,0.524,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,20,21.4,2.2,2010-11
314,0.512,106.5,38.3,83.7,45.7,9.3,25.4,36.8,20.6,25.5,80.9,10.3,30.1,40.5,21.4,13.7,7.6,5.8,4.4,21.3,20.8,0.8,2010-11
315,0.5,99,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77,10.4,31.4,41.8,22.7,13,7.6,4.3,4.6,19.4,18.8,1.5,2010-11
316,0.488,105,39.3,83.5,47,8.5,22.6,37.7,18,23.6,75.9,10,30.2,40.2,23.7,14.3,6.6,4.4,4.3,20.3,21.2,-0.9,2010-11
317,0.476,99.4,37.4,80.4,46.5,5.3,15.3,34.6,19.4,25.1,77.1,11,28.5,39.5,23.4,14.3,7.7,5.9,5,22.7,22,-1.8,2010-11
318,0.451,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,-1.1,2010-11
319,0.439,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,14.6,9,5,4.3,22,18.4,-2.3,2010-11
320,0.427,91.9,34.3,79.8,43,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7,-0.8,2010-11
321,0.415,93.3,35,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6,20,21.1,-4,2010-11
322,0.39,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,-3.1,2010-11
323,0.366,97,37.3,81.1,46,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,13,7.3,4,4.6,19.9,18.8,-3.6,2010-11
324,0.293,94.2,35.6,81,44,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21,14,5.6,4.7,4.6,22,20,-6.2,2010-11
325,0.293,99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,16.1,7.4,4.8,5.7,22,21,-5.3,2010-11
326,0.28,97.3,37.2,84,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29,41.3,19.4,15.3,8.1,6.1,5,22.6,20.3,-7.4,2010-11
327,0.268,99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,14.7,7.1,4.3,5.6,22,19.8,-6.3,2010-11
328,0.232,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21,14.2,6.6,4.2,6,20.1,21.3,-9,2010-11
329,0.207,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,17,7.2,5.1,5.5,22.3,20.9,-6.6,2010-11
330,0.744,102.1,37.8,77.9,48.5,7.3,19.3,38.1,19.1,26.6,72,9.6,32.8,42.5,22.4,13.9,6.9,5.2,4,19.4,20.8,6.5,2009-10
331,0.72,102.8,36.6,78,47,10.3,27.3,37.5,19.2,26.5,72.4,9.9,33.4,43.2,19.7,14.1,6.2,5.6,3.5,19.9,22.2,7.5,2009-10
